Tests,Points,OutOf,Notes
test_ascii_100_to_UTF16LE,0,1,Program exited with non-zero exit code.
test_ascii_1_to_UTF16LE,0,1,Program exited with non-zero exit code.
test_mixed_1000_to_UTF16LE,0,1,Program exited with non-zero exit code.
test_mixed_100_to_UTF16LE,0,1,Program exited with non-zero exit code.
test_mixed_10_to_UTF16LE,0,1,Program exited with non-zero exit code.
test_nonsurrogates_100_to_UTF16LE,0,1,Program exited with non-zero exit code.
test_nonsurrogates_1_to_UTF16LE,0,1,Program exited with non-zero exit code.
test_surrogates_100_to_UTF16LE,0,1,Program exited with non-zero exit code.
test_surrogates_1_to_UTF16LE,0,1,Program exited with non-zero exit code.
test_ascii_100_to_UTF16BE,0,1,Program exited with non-zero exit code.
test_ascii_1_to_UTF16BE,0,1,Program exited with non-zero exit code.
test_mixed_1000_to_UTF16BE,0,1,Program exited with non-zero exit code.
test_mixed_100_to_UTF16BE,0,1,Program exited with non-zero exit code.
test_mixed_10_to_UTF16BE,0,1,Program exited with non-zero exit code.
test_nonsurrogates_100_to_UTF16BE,0,1,Program exited with non-zero exit code.
test_nonsurrogates_1_to_UTF16BE,0,1,Program exited with non-zero exit code.
test_surrogates_100_to_UTF16BE,0,1,Program exited with non-zero exit code.
test_surrogates_1_to_UTF16BE,0,1,Program exited with non-zero exit code.
test_large_file,0,5,Program exited with non-zero exit code.
test_valgrind,3,3,
test_ascii_100_to_UTF8,0,3,Program exited with non-zero exit code.
test_ascii_1_to_UTF8,0,3,Program exited with non-zero exit code.
test_mixed_1000_to_UTF8,0,3,Program exited with non-zero exit code.
test_mixed_100_to_UTF8,0,3,Program exited with non-zero exit code.
test_mixed_10_to_UTF8,0,3,Program exited with non-zero exit code.
test_nonsurrogates_100_to_UTF8,0,3,Program exited with non-zero exit code.
test_nonsurrogates_1_to_UTF8,0,3,Program exited with non-zero exit code.
test_surrogates_100_to_UTF8,0,3,Program exited with non-zero exit code.
test_surrogates_1_to_UTF8,0,3,Program exited with non-zero exit code.
test_ascii_100_to_UTF8,0,3,Program exited with non-zero exit code.
test_ascii_1_to_UTF8,0,3,Program exited with non-zero exit code.
test_mixed_1000_to_UTF8,0,3,Program exited with non-zero exit code.
test_mixed_100_to_UTF8,0,3,Program exited with non-zero exit code.
test_mixed_10_to_UTF8,0,3,Program exited with non-zero exit code.
test_nonsurrogates_100_to_UTF8,0,3,Program exited with non-zero exit code.
test_nonsurrogates_1_to_UTF8,0,3,Program exited with non-zero exit code.
test_surrogates_100_to_UTF8,0,3,Program exited with non-zero exit code.
test_surrogates_1_to_UTF8,0,3,Program exited with non-zero exit code.
test_ascii_100_to_UTF16BE,0,2,Program exited with non-zero exit code.
test_ascii_100_to_UTF16LE,0,2,Program exited with non-zero exit code.
test_ascii_1_to_UTF16BE,0,2,Program exited with non-zero exit code.
test_ascii_1_to_UTF16LE,0,2,Program exited with non-zero exit code.
test_mixed_1000_to_UTF16BE,0,2,Program exited with non-zero exit code.
test_mixed_1000_to_UTF16LE,0,2,Program exited with non-zero exit code.
test_mixed_100_to_UTF16BE,0,2,Program exited with non-zero exit code.
test_mixed_100_to_UTF16LE,0,2,Program exited with non-zero exit code.
test_mixed_10_to_UTF16BE,0,2,Program exited with non-zero exit code.
test_mixed_10_to_UTF16LE,0,2,Program exited with non-zero exit code.
test_nonsurrogates_100_to_UTF16BE,0,2,Program exited with non-zero exit code.
test_nonsurrogates_100_to_UTF16LE,0,2,Program exited with non-zero exit code.
test_nonsurrogates_1_to_UTF16BE,0,2,Program exited with non-zero exit code.
test_nonsurrogates_1_to_UTF16LE,0,2,Program exited with non-zero exit code.
test_surrogates_100_to_UTF16BE,0,3,Program exited with non-zero exit code.
test_surrogates_100_to_UTF16LE,0,3,Program exited with non-zero exit code.
test_surrogates_1_to_UTF16BE,0,2,Program exited with non-zero exit code.
test_surrogates_1_to_UTF16LE,0,2,Program exited with non-zero exit code.
Total,3,118,
